CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[N][C][C][C][Branch2][Ring1][Ring1][N][C][C][=N][N][C][=C][C][=N][C][Ring1][=Branch1][=C][Ring1][=Branch2][C][Ring1][N][C][O][C][Ring2][Ring1][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][F]	371.3910000000001	2.1806	68.68	6	1	2
[C][C][C][=C][N][=C][C][=C][Branch1][#Branch1][N][Ring1][=Branch1][N][=Ring1][=Branch2][C][N][Branch2][Ring1][=N][C][C][O][C][Branch1][S][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][N][C][Ring1][S][C][Ring2][Ring1][#Branch1]	403.4080000000001	2.628120000000001	68.67999999999999	6	1	2
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][N][C][C][C][C][C][Branch1][=C][C][C][Branch1][C][O][Branch1][Ring2][C][Ring1][#Branch1][C][Ring1][#Branch2][C][Ring1][O]	303.4060000000001	1.1742799999999989	76.36	4	2	3
[C][C][Branch2][Ring1][=N][C][=N][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=N][O][Ring1][#C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1]	379.4420000000002	0.4372000000000005	145.41	7	2	5
[C][C][Branch2][Ring1][#C][C][=N][C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][O][Cl][=N][O][Ring1][P][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][Branch1][C][F][C][Ring1][#Branch1]	463.8940000000002	2.0599	131.42000000000002	7	2	6
[C][C][Branch2][Ring1][=Branch1][C][=N][C][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][=C][O][Ring1][=N][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1]	368.2640000000002	3.7016000000000018	72.36	4	1	4
[C][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][F][C][=C][Ring1][=C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1]	362.39500000000015	3.633000000000002	46.330000000000005	2	1	4
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][N][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][#N][C][Ring2][Ring1][Branch1][C][Branch1][C][C][Branch1][C][C][C]	412.5340000000002	2.3990800000000005	99.66	5	1	4
[C][O][C][=C][C][=C][Branch2][Branch1][C][C][C][C][=N][N][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][N][Ring1][=Branch2][C][C][N][Ring1][=N][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][=C][Ring2][Ring2][Ring1]	527.4690000000003	3.808900000000002	86.27000000000001	6	1	7
[C][C][C][C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][Branch2]	357.376	1.4893	75.42999999999999	3	2	4
[C][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Ring2][Ring1][Branch2]	357.37600000000003	1.3468000000000004	75.43	3	2	4
[N][C][Branch2][Ring1][Ring2][C][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][S][C][Ring1][Branch1]	319.4300000000001	1.1691999999999998	66.64	4	1	4
[C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][=C][Ring1][=C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1]	419.4470000000002	2.7013000000000007	66.64	3	1	5
[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][#N]	209.29299999999995	0.8743799999999998	70.12	3	1	1
[N][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][C][N][C][C][=Branch1][C][=O][N][C][C][S][C][Ring1][Branch1]	275.37699999999995	1.35108	70.11999999999999	4	1	4
[N][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][S][C][=C][C][=Ring1][Branch1][C][Ring1][S][=O]	365.4620000000001	2.30548	87.94	7	1	3
[C][C][Branch1][C][C][=C][C][N][C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][=C][Ring1][N][C][=Branch1][C][=O][N][Branch1][S][C][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][Ring1][C]	474.5690000000002	1.7818999999999998	116.86	10	1	5
[C][C][#C][C][N][C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][=C][Ring1][N][C][=Branch1][C][=O][N][Branch2][Ring1][=Branch1][C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][N][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][Branch1][C]	487.56400000000025	0.747700000000002	113.08	10	1	4
[C][O][C][=C][C][=C][C][Branch2][Branch1][C][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch2][Ring1][#Branch2][N][=C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][N][Ring1][N][C][C][=C][Branch1][C][C][C][N][Branch1][C][C][C][Ring2][Ring1][#Branch1][=O][=C][Ring2][Ring1][P][O][C]	510.5950000000004	1.6905000000000003	126.61	11	1	8
[C][C][#C][C][N][C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][=C][Ring1][N][C][=Branch1][C][=O][N][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][O][Ring1][Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][Ring2][C]	478.5090000000003	0.4591000000000018	126.61	11	1	5
[C][C][=C][C][N][C][Branch1][N][N][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][=C][Ring1][N][C][=Branch1][C][=O][N][Branch2][Ring1][Branch2][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch1][C]	521.6220000000003	1.8777	137.25	10	2	8
