CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[C][C][=C][C][=C][Branch2][Ring2][O][N][C][=Branch1][C][=O][C][N][Branch2][Ring1][=Branch2][C][C][=C][C][=C][Branch1][=C][O][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][Ring1][=N][C][C][=C][C][=C][O][Ring1][Branch1][C][Branch1][C][C][=C][Ring2][Ring1][S]	450.5350000000002	4.779340000000004	92.01	5	2	10
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1]	386.4470000000001	4.798620000000003	63.60000000000001	3	1	5
[C][C][=C][C][=C][C][Branch2][Ring2][Branch1][O][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][N]	386.4470000000001	4.798620000000003	63.60000000000001	3	1	5
[C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch2][Ring1][#Branch2][O][C][C][=C][O][C][Branch1][#C][C][=C][C][=C][Branch1][C][F][C][Branch1][C][Cl][=C][Ring1][Branch2][=N][Ring1][=N][=C][Ring2][Ring1][Branch1]	448.8340000000001	4.366100000000003	102.1	6	1	8
[C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch2][Ring1][#Branch1][O][C][C][=C][S][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][Ring1][N][=C][Ring2][Ring1][Ring2]	446.9120000000001	4.6955000000000044	88.96000000000001	6	1	8
[C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1]	366.4570000000001	4.473900000000004	63.60000000000001	3	1	7
[C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1]	380.48400000000015	5.008100000000004	63.60000000000001	3	1	9
[C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch2][Ring1][#C][O][C][C][=C][S][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][=N][Ring1][#C][=C][Ring2][Ring1][#Branch1]	480.46400000000006	5.060900000000004	88.96000000000001	6	1	8
[C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch2][Ring1][#Branch1][O][C][C][=C][S][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=N][Ring1][N][=C][Ring2][Ring1][Ring2]	426.4940000000001	4.350520000000003	88.96000000000001	6	1	8
[C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch2][Ring1][#Branch1][O][C][C][=C][S][C][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=N][Ring1][N][=C][Ring2][Ring1][Ring2]	446.9120000000001	4.6955000000000044	88.96000000000001	6	1	8
[C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1]	408.5380000000001	5.788300000000006	63.60000000000001	3	1	11
