CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
NC=1N=C2C=CC(C(=O)C3=C(F)C=CC=C3F)=CN2C=1C(=O)C4=CC=CC=C4	377.3500000000001	3.6567000000000016	77.46000000000001	5	1	4
O=C(NC1=CC=C(F)C=C1)C2=N[NH1]C=C2NC(=O)C3CCCCC3	330.3630000000002	3.3199000000000023	86.88	3	3	4
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=CC(C=4C=C[NH1]N=4)=C32)C=C1	382.4050000000001	1.4923999999999995	142.32999999999998	6	4	4
NCCNC1=CC(C2=CC=C[NH1]2)=C3C4=C(C=CC(F)=C14)NC3=O	310.33200000000005	2.9103000000000003	82.94	3	4	4
COC1=CC=C2C(=C1)C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	346.36800000000005	1.1108999999999998	122.88	6	3	4
O=C(NC1=N[NH1]C2=CC(C=3C=CSC=3)=CC=C12)C4CC4	283.3560000000001	3.6399000000000017	57.78	3	2	3
CN(C)CC(O)COC1=CC=C(NC2=NC=CC(NC3=CC=CC=C3Cl)=N2)C=C1	413.9090000000001	3.9185000000000016	82.54	7	3	9
CC(C)(C)C1=CN=C(CSC2=CN=C(NC3CCCC(O)C3)S2)O1	367.5400000000001	4.436300000000005	71.18	7	2	5
O=C(CC1=CC=CC=C1)NC2=N[NH1]C3=CC=C([N+1](=O)[O-1])C=C23	296.286	2.6523000000000003	100.92	4	2	4
O=C(CC1=CC=C(C2=CC=CC=C2)C=C1)NC3=N[NH1]C4=CC=C(N5CCCS5(=O)=O)C=C34	446.5320000000003	3.9510000000000014	95.16	4	2	5
O=C(CC1=CC=CC2=CC=CC=C12)NC3=N[NH1]C4=CC=C(N5CCCS5(=O)=O)C=C34	420.49400000000026	3.4372000000000016	95.16	4	2	4
CSC1=CC=C(CC(=O)NC2=N[NH1]C3=CC=C(N4CCCS4(=O)=O)C=C23)C=C1	416.52800000000025	3.0059000000000013	95.16	5	2	5
O=C(CC1=CC=C(Cl)C=C1)NC2=N[NH1]C3=CC=C(N4CCCS4(=O)=O)C=C23	404.87900000000025	2.937400000000001	95.16	4	2	4
CN(C)CC1=CC=C2C=CC(Cl)=C(C3=C(C4=CN(C)C5=CC=CC=C45)C(=O)NC3=O)C2=C1	443.93400000000014	4.613700000000004	54.34	4	1	4
NS(=O)(=O)C1=CC=C(NC=2C=C(C3=CC=CC(Br)=C3)[NH1]N=2)C=C1	393.266	3.230200000000001	100.87	4	3	4
CC(C)C1=CC(NC(=O)C2=CC=C(Br)C=C2)=N[NH1]1	308.179	3.547900000000002	57.78	2	2	3
CC1=CC=C(F)C(NC2=CC=NC(NC3=CC=C(S(N)(=O)=O)C=C3)=N2)=C1	373.4130000000001	3.05872	110.0	6	3	5
CC(C)C1=CC=CC2=C1C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	358.4230000000001	2.2257	113.64999999999998	5	3	4
NC(=O)C1=CC=C2C(=C1)C(=NNC3=CC=C(S(=O)(=O)NCCOCCO)C=C3)C(=O)N2	447.4730000000002	-0.1590000000000002	172.21	8	5	10
CC(C)C1=CC=C2C(=C1)NC(=O)C2=NNC3=CC=C(S(N)(=O)=O)C=C3	358.42300000000006	2.2257	113.65	5	3	4
COC1=CC=C2C(=C1)NC(=O)C2=CC=3[NH1]C=C4C=3CCOC4=O	310.3090000000001	2.2289000000000003	80.41999999999999	4	2	2
CC(C)(N)CNC1=CC(C2=CC=C[NH1]2)=C3C4=C(C=CC(F)=C14)NC3=O	338.3860000000001	3.688900000000001	82.94	3	4	4
CN(C)C1=CC=C2C(=C1)C(=CNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	358.4230000000001	1.8051	104.53	5	3	4
NC1=CC=C(C2=NN3C(COC4=CC=C(Cl)C=C4)=NN=C3S2)C=C1	357.8260000000001	3.6674000000000015	78.33	7	1	4
CC(C)=CC1=CC=CC2=C1C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	370.4340000000001	2.525499999999999	113.64999999999998	5	3	4
NC1=NC(NC2=CC=CC(Br)=C2)=NC(OCC3CCCCC3)=C1N=O	406.2840000000003	4.921900000000004	102.49	7	2	6
CN1CCC(C2=C(O)C=C(O)C3=C2OC(=CC4=CC=C(S(N)(=O)=O)C=C4)C3=O)CC1	430.4820000000002	2.1706000000000003	130.16	7	3	3
COC1=CC=C(C=2C=C(NC3=CC=C(S(N)(=O)=O)C=C3)[NH1]N=2)C=C1F	362.386	2.6154	110.09999999999998	5	3	5
CC1=CC(N2C(=O)CN(C)C2=O)=C3OC(C4=CC=C(O)C(O)=C4)=C(O)C(=O)C3=C1	396.3550000000001	2.283620000000001	131.52	7	3	2
CC1=CC(N2CCCCC2)=C3OC(C4=CC=C(O)C(O)=C4)=C(O)C(=O)C3=C1	367.4010000000001	3.8755200000000034	94.14	6	3	2
NS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=CC=C4N=CC=CC4=C32)C=C1	366.4020000000001	2.2873	114.18	5	3	3
CS(=N)(=O)CC1=CC=CC(NC2=NC=C(F)C(C3=CC=C(F)C=C3OCC4=CC=CC=C4)=N2)=C1	480.5400000000002	5.920970000000004	87.96000000000001	6	2	8
CCS(=N)(=O)CC1=CC=CC(NC2=NC=C(F)C(C3=CC=C(F)C=C3OC)=N2)=C1	418.46900000000016	4.740670000000003	87.96000000000001	6	2	7
CN1N=C(C(N)=O)C2=C1C3=NC(NC4=CC=C(N5CCOCC5)C=C4)=NC=C3CC2	405.4620000000003	1.654799999999999	111.19	8	2	4
CN1CCN(C2=CC=C(NC3=NC=C4C(=N3)C5=C(C(C(N)=O)=NN5C)C(C)(C)C4)C=C2)CC1	446.55900000000025	2.3050999999999995	105.2	8	2	4
CNC(=O)C1=NN(C)C2=C1C(C)(C)CC3=CN=C(NC4=CC=C(N5CCN(C)CC5)C=C4)N=C32	460.5860000000002	2.5658000000000003	91.21	8	2	4
CNC(=O)C1=NN(C)C2=C1C(C)(C)CC3=CN=C(NC4=CC=CC(OC5CCN(C)CC5)=C4)N=C32	475.59700000000026	3.2870000000000026	97.2	8	2	5
NC1=NC(NC2=CC=C(S(N)(=O)=O)C=C2)=NC(OCC3CCCCC3)=C1N=O	406.4680000000003	2.8068	162.64999999999998	9	3	7
NC=1N=C2C=CC(C(=O)C3=C(F)C=CC=C3Cl)=CN2C=1C(=O)C4=C(F)C=CC=C4F	429.7850000000001	4.449200000000002	77.46000000000001	5	1	4
C=C(C=1C=CC2=NC(N)=C(C(=O)C3=C(F)C=CC=C3F)N2C=1)C4=C(F)C=CC=C4F	411.35800000000006	4.765400000000002	60.39	4	1	4
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=CC(CCC4=CC=C(O)C=C4)=C32)C=C1	436.4930000000002	2.5931000000000006	133.88	6	4	6
COC1=CC(F)=CC=C1C2=CC=NC(NC(=O)C3CCC(NC(C)=O)C3)=C2	371.4120000000002	3.1396000000000006	80.32	4	2	5
COCCOC1=CC=C2C=C1CN(C)CC=CCOCC3=CC=C(O3)C4=CC=NC(=N4)N2	436.51200000000017	4.023600000000003	81.88000000000001	8	1	4
CCOC(=O)N=S(C)(=O)CC1=CC=CC(NC2=NC=C(F)C(C3=CC=C(F)C=C3OC)=N2)=C1	476.50500000000017	4.928300000000005	102.77	7	1	7
COC1=CC(F)=CC=C1C2=NC(NC3=CC(F)=C(F)C(CS(C)(=O)=NC#N)=C3)=NC=C2F	465.4320000000002	4.531080000000003	100.26	7	1	6
COC1=CC(F)=CC=C1C2=NC(NC3=CC(F)=CC(CS(C)(=N)=O)=C3)=NC=C2F	422.4320000000001	4.489670000000003	87.96	6	2	6
COC1=CC(F)=CC=C1C2=NC(NC3=CC=CC(CS(C)(=O)=NC#N)=C3)=NC=C2F	429.4520000000001	4.252880000000002	100.26	7	1	6
CCS(=O)(CC1=CC=CC(NC2=NC=C(F)C(C3=CC=C(F)C=C3OC)=N2)=C1)=NC#N	443.47900000000016	4.642980000000003	100.26	7	1	7
COC1=CC(CS(C)(=N)=O)=CC(NC2=NC=C(F)C(C3=CC=C(F)C=C3OC)=N2)=C1	434.4680000000002	4.359170000000002	97.19	7	2	7
COC1=CC(F)=CC=C1C2=NC(NC3=CC(CS(C)(=N)=O)=CC(C(F)(F)F)=C3)=NC=C2F	472.4390000000001	5.369370000000003	87.96	6	2	6
COC1=CC(F)=CC=C1C2=NC(NC3=CC(F)=C(F)C(CS(C)(=N)=O)=C3)=NC=C2F	440.42200000000014	4.628770000000003	87.96	6	2	6
COC1=CC(F)=CC=C1C2=NC(NC3=CC(CS(C)(=O)=NC#N)=CC(C(F)(F)C(F)(F)F)=C3)=NC=C2F	547.4560000000001	5.906980000000003	100.26	7	1	7
NS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=CC=C(C(=O)O)C=C32)C=C1	359.3630000000001	1.4373	138.58999999999995	5	4	4
O=C1NC2=CC=C(Cl)C=C2C1=CC=3[NH1]C=C4C=3CCOC4=O	314.7280000000001	2.8737000000000004	71.19	3	2	1
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(C4=CN=CO4)C=C32)C=C1	383.3890000000001	1.7573	139.68	7	3	4
C1=CCOCC2=CN=CC(=C2)C3=CC=NC(=N3)NC4=CC=CC(=C4)COC1	360.41700000000014	3.885200000000002	69.16000000000001	6	1	0
CCCCOC1=C(C(=O)C2=CC=CC=C2)C=NC=3[NH1]N=CC1=3	295.34200000000004	3.3678000000000017	67.87	4	1	6
CC(=O)NC1CN(C2=CC=C(NC3=NC=C(F)C(C4=CN=C(C)N4C(C)C)=N3)C=C2)C1	423.4960000000002	3.4368200000000018	87.97000000000001	7	2	6
CC1=NC=C(C2=CC=NC(NC3=CC=C(N4CCN(C(=O)CO)CC4)C=C3)=N2)N1C(C)C	435.5320000000002	2.61392	99.41	8	2	6
COC1=CC=CC(C(=O)NC=2C=C(C3CC3)[NH1]N=2)=C1	257.29299999999995	2.548	67.00999999999999	3	2	4
O=C(NC=1C=C(C2CCC2)[NH1]N=1)C3=CC=C(Br)C=C3	320.19	3.692000000000002	57.78	2	2	3
O=C(CC1=CC=C(C2=CC=CC=C2)C=C1)NC=3C=C(C4CC4)[NH1]N=3	317.3920000000001	4.135300000000002	57.78	2	2	5
CC1=CN=C2N=C1C3=CC=CC(=C3)OCCC=CCN(C)CC4=CC=CC(=C4)N2	386.4990000000001	4.966120000000004	50.28000000000001	5	1	0
CC1=NC=C(C2=CC=NC(NC3=CC=C(C(=O)NC4CCN(C)CC4)C=C3)=N2)N1C(C)C	433.5600000000003	3.7970200000000025	87.97	7	2	6
CC1=NC=C(C2=NC(NC3=CC=C(C(=O)NC4CCN(C)CC4)C(F)=C3)=NC=C2F)N1C(C)C	469.5400000000002	4.075220000000003	87.97	7	2	6
CC1=NC=C(C2=CC=NC(NC3=CC=C(C(=O)NCCN(C)C)C(F)=C3)=N2)N1C(C)C	425.51200000000017	3.403520000000002	87.97	7	2	8
CC1=NN(C2CCNCC2)C=C1NC3=NC=C(Cl)C(C4=CN=C5C=CC=CN45)=N3	408.89700000000016	3.617720000000002	84.96	8	2	4
CC1=NN(C2CCNCC2)C(C)=C1NC3=NC=C(Cl)C(C=4C=NN5C=CC=CC=45)=N3	422.9240000000001	3.926140000000003	84.96	8	2	4
O=C1NC2=CC=CC=C2C1=C3NC4=CC=CC=C4C3=O	262.268	2.658200000000001	58.2	3	2	0
NC=1N=C2C=CC(C(=O)C3=C(Cl)C=CC=C3Cl)=CN2C=1C(=O)C4=C(F)C=C(C(=O)O)C=C4F	490.2490000000002	4.6617000000000015	114.76	6	2	5
COC1=CC=C2C(=C1Cl)C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	380.8130000000001	1.764299999999999	122.88	6	3	4
O=C(NC(=S)NC1=CC=C(O)C(C2=NC3=CC=CC=C3S2)=C1)C4=CC=C([N+1](=O)[O-1])C=C4	450.50100000000015	4.703900000000003	117.39	7	3	4
CC1=NC=C(C2=NC(NC3=CC=C(C(=O)N4CCN(C)CC4)C=C3)=NC=C2F)N1C(C)C	437.5230000000002	3.4997200000000026	79.18	7	1	5
COC1=CC(C2=CC=C[NH1]2)=C3C4=C(C=CC(F)=C14)NC3=O	282.274	3.548300000000001	54.12	2	2	2
CCOC1=CC=CC2=C1C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	360.3950000000001	1.501	122.88	6	3	5
CNC(=O)C1=CC=C(NC2=NC=CC(C3=CN=C(COC)N3C(C)C)=N2)C=C1	380.4520000000001	3.170600000000002	93.96	7	2	7
O=C(NC1=N[NH1]C2=NC(C3=CC=C(O)C=C3)=C(C4=CC=CC=C4)C=C12)C5CC5	370.41200000000015	4.346000000000002	90.9	4	3	4
COC1=CC(F)=CC=C1C2=NC3=C(NCCCNC(=O)C4CCC4)C(Br)=CN=C3[NH1]2	476.3500000000002	4.253400000000002	91.93	5	3	8
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C4[NH1]N=C(Cl)C4=C32)C=C1	390.8120000000001	1.632	142.32999999999998	6	4	3
CCC1=CC=C2C(=C1)NC(=O)C2=NNC3=CC=C(S(N)(=O)=O)C=C3	344.3960000000001	1.6646999999999998	113.65	5	3	4
O=C1NC2=CC=C(F)C3=C(NCCO)C=C(C4=CC=C[NH1]4)C1=C23	311.31600000000003	2.943900000000001	77.15	3	4	4
NC(=O)NC1=CC=CC2=C1C(=O)C=3C(C4=CSC(Cl)=C4)=N[NH1]C=32	344.783	3.4936000000000016	100.87	4	3	2
CC1=CC(NC(=O)C2=CC=C(Br)C=C2)=N[NH1]1	280.125	2.73292	57.78	2	2	2
CCC1=CC(NC(=O)C2=CC=C(Br)C=C2)=N[NH1]1	294.152	2.9869000000000003	57.78	2	2	3
COC1=CC=CC(CC(=O)NC=2C=C(C3CC3)[NH1]N=2)=C1	271.32	2.4769	67.00999999999999	3	2	5
CN1CCC(C2=C(O)C=C(O)C=3C(=O)C=C(SC4=CC=CC=C4Cl)OC2=3)C(O)C1	433.9130000000001	3.788800000000001	94.14	7	3	3
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=CC(OC4=CC=CC=C4)=C32)C=C1	408.43900000000014	2.8946000000000014	122.88	6	3	5
CCC1=CC=CC2=C1C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	344.3960000000001	1.6646999999999996	113.64999999999998	5	3	4
O=C1NC2=CC=C3N=CSC3=C2C1=CNC4=CC=C5C(=C4)CS(=O)(=O)C5	383.4540000000002	3.129800000000001	88.16	6	2	2
CC1=NC=C(C2=CC=NC(NC3=CC=C(S(=O)(=O)CC4CCCO4)C=C3)=N2)N1C(C)C	441.5570000000003	3.9257200000000023	99.0	8	1	7
COCCNS(=O)(=O)C1=CC=C(NC2=NC=CC(C3=CN=C(C)N3C)=N2)C=C1	402.4800000000001	1.8538199999999996	111.03	8	2	8
NC=1N=C2C=CC(C(=O)C3=C(F)C=CC=C3F)=CN2C=1C(=O)C4=C(F)C=CC=C4F	413.3300000000001	3.9349000000000016	77.46000000000001	5	1	4
CN1CCN(C2=CC=C(NC=C3C(=O)NC(=O)C4=CC=C(C5=CC=C(C=O)C=C5)C=C43)C=C2)CC1	466.5410000000002	3.640900000000003	81.75	6	2	5
O=C(NC=1C=C(C2CC2)[NH1]N=1)C3=CC=C(Br)C=C3	306.163	3.3019000000000016	57.78	2	2	3
O=C(O)C1=CC=C(C(=O)NC=2C=C(C3CC3)[NH1]N=2)C=C1	271.27599999999995	2.2376	95.08	3	3	4
CCCOC1=CN=C(CNC=C2C(=O)NC(=O)C3=CC=C(C4CCCC4)C=C32)C=C1O	421.4970000000002	3.6343000000000023	100.55	6	3	7
NC=1N=C2C=CC(C(=O)C3=C(F)C=CC=C3F)=CN2C=1C(=O)C4=C(F)C=CC=C4Cl	429.7850000000001	4.449200000000001	77.46000000000001	5	1	4
CN1CC=CCCN2C=CC3=CC=C(C=C32)C4=CC=NC(=N4)NC5=CC=CC(=C5)C1	395.51000000000016	5.2336000000000045	45.98	5	1	0
NS(=O)(=O)C1=CC=C2C(=C1)C(=CC=3[NH1]C=C4C=3CCOC4=O)C(=O)N2	359.36300000000017	0.8676999999999999	131.35	5	3	2
NC=1N=C2C=CC(C(=O)C3=C(Cl)C=CC=C3Cl)=CN2C=1C(=O)C4=C(F)C=CC=C4F	446.2400000000001	4.9635000000000025	77.46000000000001	5	1	4
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(S(N)(=O)=O)C=C32)C=C1	395.42200000000014	-0.2502999999999991	173.81	7	4	4
O=S1(=O)NCCCNC2=NC(=NC=C2Br)NC3=CC=CC1=C3	384.25900000000007	2.076599999999999	96.01	6	3	0
O=C(NC=1C=C(C2CC2)[NH1]N=1)C3=CC=CC(C(F)(F)F)=C3	295.264	3.558200000000002	57.78	2	2	3
O=C(NC=1C=C(C2CCCC2)[NH1]N=1)C3=CC=C(Br)C=C3	334.217	4.082100000000002	57.78	2	2	3
CC1=NC=C(C2=CC=NC(NC3=CC=C(N4CCN(C(=O)CN(C)C)CC4)C=C3)=N2)N1C(C)C	462.60200000000026	3.1832200000000013	82.42000000000002	8	1	7
O=C(NC1CCNCC1)C2=N[NH1]C=C2NC(=O)C3=C(F)C=CC=C3F	349.34100000000007	1.421999999999999	98.91	4	4	4
O=C(CO)NC1=C[NH1]N=C1C(=O)NC2=CC=C(F)C=C2	278.243	0.7319	107.11	4	4	4
NS(=O)(=O)C1=CC=C(NC2=CN=CC(Cl)=N2)C=C1	284.728	1.5210000000000004	97.97	5	2	3
CS(=O)(=O)C1=CC=C2C(=C1)C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	394.43400000000014	0.5058000000000005	147.79	7	3	4
