SELFIES	MW	LogP	TPSA	HBA	HBD	RotB
[N][C][N][=C][C][=C][C][Branch1][P][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][=C][N][Ring1][S][C][=Ring2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1]	383.3790000000001	3.7182000000000013	77.46000000000001	6	1	4
[C][O][C][C][C][N][Branch2][Ring2][C][C][=N][C][=C][C][Branch2][Ring1][=Branch1][N][C][=C][C][=C][Branch1][O][C][=C][N][Ring1][Branch1][C][Branch1][C][C][C][C][=N][Ring1][N][=N][Ring2][Ring1][Ring1][C][C][Ring2][Ring1][=Branch2]	366.46900000000016	3.7660000000000027	68.1	7	1	5
[C][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=Branch1][C][=O][N][C][=Branch1][C][=S][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][=C]	446.9630000000002	5.627920000000003	58.95	4	2	4
[C][C][=Branch1][C][=O][N][C][C][C][Branch2][Ring2][#Branch1][N][C][=C][Branch2][Ring1][N][N][C][=N][C][=C][Branch1][C][Cl][C][Branch1][=C][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][=N][Ring1][S][C][=N][Ring2][Ring1][=Branch1][C][C][Ring2][Ring1][N]	436.9070000000002	3.568200000000002	93.24000000000001	8	1	4
[C][C][=Branch1][C][=O][N][C][C][C][Branch2][Ring2][Branch2][N][N][=C][C][Branch2][Ring1][N][N][C][=N][C][=C][Branch1][C][Cl][C][Branch1][=C][C][C][=N][N][C][=C][C][=C][C][=Ring1][=Branch2][Ring1][=Branch1][=N][Ring1][S][=C][Ring2][Ring1][=Branch1][C][C][C][Ring2][Ring1][=N]	450.93400000000025	3.8766200000000026	93.24	8	1	4
[C][O][C][=C][C][=C][Branch2][Ring1][=Branch1][C][O][C][=N][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Branch1][Cl]	343.77	3.3286000000000016	77.25	5	1	5
[C][O][C][=C][C][=C][Branch2][Ring1][=Branch1][C][O][C][=N][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=N][Ring2][Ring1][Branch1]	310.313	2.0702	90.14	6	1	5
[C][N][C][C][C][Branch2][Ring1][S][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][=Branch1][#Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O][C][C][Ring2][Ring1][=Branch2]	351.4020000000001	3.523200000000002	70.0	5	2	2
[N][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch2][Ring1][Branch1][=N][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][Ring1]	359.3670000000001	0.20119999999999955	156.73999999999998	6	4	4
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch2][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][S][C][Ring1][Branch1][=C][Ring1][=Branch2][Ring1][=N][C][=C][Ring2][Ring1][Branch1]	373.4190000000001	1.712	126.54	7	3	3
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch1][N][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][Ring1][C][O][=C][Ring1][Branch2][Ring1][N][C][=C][Ring2][Ring1][Ring2]	345.3800000000001	1.2314000000000003	121.52	5	4	4
[C][C][=N][N][N][=C][C][Branch1][P][C][=C][C][=N][C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][=N][Ring1][#Branch2][=C][Ring1][#C][C][=Ring2][Ring1][Ring1]	252.28099999999998	1.7605999999999997	68.0	6	1	3
[N][#C][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][Branch1][=C][C][C][=N][N][N][=C][C][=C][C][=Ring1][=Branch2][Ring1][=Branch1][=N][Ring1][#C][C][=C][Ring2][Ring1][=Branch1]	313.32400000000007	2.8015800000000004	91.79	7	1	3
